user|artist_uri|artist_name|total_followers|genres
4|4FqWInziQnhpDVKaMLAzkY|MJ Duke|4717|[]
4|7bZpYWk0ZZN7CkOeXbAY0Z|Potter Payper|102507|['uk hip hop']
4|46IxhJGbFfxwNEUu0GKfUQ|Spencer Flay|282|[]
4|4E0mDf341TLViBbNefSrsK|Blade Brown|54193|['grime', 'uk hip hop']
4|3nFkdlSjzX9mRTtwJOzDYB|JAY-Z|7185846|['east coast hip hop', 'hip hop', 'rap']
4|1anyVhU62p31KFi8MEzkbf|Chance the Rapper|5612039|['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']
1|01pKrlgPJhm5dB4lneYAqS|Sigma|289578|['dance pop', 'dancefloor dnb', 'drum and bass', 'edm', 'house', 'pop dance', 'tropical house', 'uk dance']
1|05lF0DUkLJqiW5o70SScyR|Hybrid Minds|107834|['drum and bass', 'liquid funk']
1|06EfEcjc0vdvI6VNL0soIO|Rameses B|92911|['chillstep', 'complextro', 'edm', 'electro house', 'gaming edm', 'melodic dubstep']
1|0AkpPlFLnr0VQwZQeMGht0|Modjo|125763|['disco house', 'filter house', 'vocal house']
1|0Ij7th9uWcDVYNAIOn5W22|Kornél Kovács|34126|['float house', 'lo-fi house', 'swedish electronic', 'swedish house']
1|0L18KxnMWgXorB5oVDRGzR|L U C Y|3684|['experimental club']
1|0RBnTX5xoVa1bDYt9Qbies|Floorplan|35738|['deep house', 'disco house', 'techno']
1|0RDC2Krd2nmqseGx5C8PQz|Kllo|82474|['alternative r&b', 'aussietronica', 'electropop', 'indie soul', 'vapor soul']
1|0T2sGLJKge2eaFmZJxX7sq|Wretch 32|298647|['grime', 'uk hip hop']
1|0WAZJYudbUpl0EOjvdrnRG|Julio Bashmore|65844|['bristol electronic', 'future garage', 'uk bass']
1|0WSSKmoRbxqLf3MnXInQ2J|Max Cooper|139494|['electronica', 'microhouse', 'minimal techno', 'modular synth', 'tech house']
1|0X2BH1fck6amBIoJhDVmmJ|Ellie Goulding|10679634|['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']
1|0XGJ3GUPwslwFJ66yNbHeh|Trash Boat|84737|['alternative emo', 'anthem emo', 'pop punk', 'uk pop punk']
1|0cVit0XTp4KB738vqWkUZ3|Main Phase|2620|['deep dubstep']
1|0e1hn6R8UCfLkpHINwAyXR|Zomby|49255|['classic dubstep', 'footwork', 'future garage', 'outsider house', 'uk bass', 'uk garage', 'weightless', 'wonky']
1|0khgxZqgfp5izZVxScEHpm|Lille Høg|334|[]
1|0oJM3iJjMdzgsd4z5VHQvw|Professor Green|338934|['grime']
1|0pkLgeB9j465x1QB2kRoy4|HAAi|23916|['australian experimental']
1|0tMr0e1EQZ0Vci7EHz2bM9|Shadow Child|46891|['deep groove house', 'house', 'minimal tech house']
1|0ygIgsjUzKivFgxgjQ9iV9|Jacques Greene|79591|['canadian electronic', 'electronica', 'float house', 'future garage', 'microhouse', 'uk bass', 'wonky']
1|144HzhpLjcR9k37w5Ico9B|Deborah de Luca|296397|['electra', 'italian techno']
1|19SmlbABtI4bXz864MLqOS|Carl Cox|638548|['house', 'schranz', 'tech house', 'uk tech house']
