user|track_uri|track_name|artist_uri|artist_name|album_uri|album_name
2|0P88fVbvRQGgRQN1GulQNy|Glad U Came (feat. ZieZie)|0PfJ0SW9UpzczeHL5hgdwL|Liilz|52JvEc5EDwgA854xVckQL9|Glad U Came (feat. ZieZie)
2|0QBzMgT7NIeoCYy3sJCof1|Bam Bam (feat. Ed Sheeran)|4nDoRrQiYLoBzwC5BhVJzF|Camila Cabello|6FIMt58naoGYrOe4Wn2P3n|Bam Bam (feat. Ed Sheeran)
2|1BSMpVGWs3v5BZKnAQziAc|Light Switch|6VuMaDnrHyPL1p4EHjYLi7|Charlie Puth|6PBwTu4IgZMQNTKtrgxzZQ|Light Switch
2|1Dp7ASSZVVOPJ85VdLpjOX|Seventeen Going Under|6zlR5ttMfMNmwf2lecU9Cc|Sam Fender|4RS1iWb2MC9o21z3t8zxl4|Seventeen Going Under
2|1HvTxgCj0mTzQlEo0zLvFb|In My Head|6jGMq4yGs7aQzuGsMgVgZR|Lil Tjay|5pK7kqzGXSY7xoLMhfHlql|In My Head
2|1jTrQnMziyawXMHjd6y4R1|Come & Go|7m0BsF0t3K9WQFgKoPejfk|ArrDee|1iOQNkFxtPkiZDYq9RZDyV|Come & Go
2|20on25jryn53hWghthWWW3|Do It To It|4pnp4w9g30yLfVIAFnZMRd|ACRAZE|58cd90Jkrovggh556JPN9L|Do It To It
2|2Gg9UhRTym4rztR9vU0Pvu|Gangsteritus|7bZpYWk0ZZN7CkOeXbAY0Z|Potter Payper|2IHcdrRhnzXoH8ilmhWujM|Thanks For Waiting
2|2iHsdUnmKGIuc9oRE3DfgJ|House On Fire|3GxKJzJK4LpsYGXQrw77wz|Mimi Webb|4zZ3DDacL1IvmaozxYEGuL|House On Fire
2|3FMedgGsLUNwx8NciePFEK|Reggae & Calypso (Russ Millions x Buni x YV)|3FoFW2AoUGRHBacC6i4x4p|Russ Millions|7edXlHrpkf5btwVVy1nO3k|One Of A Kind Music Presents: Reggae & Calypso (Russ Millions x Buni x YV)
2|3o9kpgkIcffx0iSwxhuNI2|Numb Little Bug|7o2ZQYM7nTsaVdkXY38UAA|Em Beihold|20zaiRxxUfDqdCKsdSo7HM|Numb Little Bug
2|3pudQCMnsFGwOElTZmuml8|Baby|2PJEagPIxaBugeMjIyKVXF|Aitch|4ag07Nbz1xUcFWU17JNh1r|Baby
2|3rmo8F54jFF8OgYsqTxm5d|Bad Habits|6eUKZXaKkcviH0Ku9w2n3V|Ed Sheeran|32iAEBstCjauDhyKpGjTuq|=
2|3sa06xVNmLLYIxdNNmVQN8|Where Did You Go? (feat. MNEK)|4Q6nIcaBED8qUel8bBx6Cr|Jax Jones|5vSLX6JljaSXuRY2Wqi6xL|Where Did You Go (feat. MNEK)
2|3uUuGVFu1V7jTQL60S1r8z|Where Are You Now|7f5Zgnp2spUuuzKplmRkt7|Lost Frequencies|5YrOK7zze6egKg9a8WRcnD|Where Are You Now
2|4CUX44NA1CPEzd0ibMLQsL|Make Me Feel Good|1H1sDUWSlytzifZTDpKgUA|Belters Only|2YNIYdATkvFpTKZexocmEi|Make Me Feel Good
2|4hJhHbkhZFnxmWbAkZRoe0|Peru|75VKfyoBlkmrJFDqo1o2VY|Fireboy DML|5SLXbErenG3tJrVdIMpQHk|Peru
2|50ZFpw2wS6ERvLmW8TINhq|Beg For You (feat. Rina Sawayama)|25uiPmTg16RbhZWAqwLBy5|Charli XCX|0ffmwwS9EBmpLAgjblX75O|Beg For You (feat. Rina Sawayama)
2|531KGXtBroSrOX9LVmiIgc|Starlight|6Ip8FS7vWT1uKkJSweANQK|Dave|1WLS1NrOlbDIl760hVeeUi|Starlight
2|53O5nAlq04RKmSBqW0SFvG|Down Under (feat. Colin Hay)|20cmhoGvN0eyzhmsHJH1Mg|Luude|52L8AnUkPWl7FGDlZjNAnJ|Down Under (feat. Colin Hay)
2|59CfNbkERJ3NoTXDvoURjj|Boyfriend|2W8yFh0Ga6Yf3jiayVxwkE|Dove Cameron|4jUfPmvZGiRRJwULbfk1dc|Boyfriend
