user|artist_name|artist_uri
3|Queen|1dfeR4HaWDbWqFHLkxsg1d
3|Birdy|2WX2uTcsvV5OnS0inACecP
3|Kings of Leon|2qk9voo8llSGYcZ6xrBzKx
3|Catfish and the Bottlemen|2xaAOVImG2O6lURwqperlD
3|Lewis Capaldi|4GNC7GD6oZMSxPGyXy4MNB
3|Bon Iver|4LEiUm1SRbFMgfqnQTwUbQ
3|Sundara Karma|4fgXfJCQnK6c44u4KzAtQP
3|Keane|53A0W3U0s8diEn9RhXQhVz
3|Tame Impala|5INjqkS1o8h1imAzPqGZBb
3|Ben Howard|5schNIzWdI9gJ1QRK8SBnc
3|Foals|6FQqZYVfTNQ1pCqfkwVFEa
3|Khalid|6LuN9FCkKOj5PcnpouEgny
3|Circa Waves|6hl5k4gLl1p3sjhHcb57t2
3|Paramore|74XFHRwlV6OrjEM0A2NCMF
3|Eminem|7dGJo4pcD2V6oG8kP0tJRR
3|Foster The People|7gP3bB2nilZXLfPHJhMdvc
4|Kendrick Lamar|2YZyLoL8N0Wb9xBt1NhZWg
4|J Hus|2a0uxJgbvvIRI4GX8pYfcr
4|Kano|50nN8IFD4xA67fI4jYbLV4
4|Benny The Butcher|5Matrg5du62bXwer29cU5T
4|Knucks|6W4vm8P3JFQboO4cvHeqaa
4|J. Cole|6l3HvQ5sa6mXTsMTB19rO5
1|Uk Apache|0YE17nrGKTk37bcKpKVUvi
1|Ghetts|7zJL978NtANOysfGY21ty6
1|Athena|5zQVK5kEmMGuMqreKxjyNb
1|Subwave|19UDaks6aMVPdEp8qhO4T9
1|BAKEY|49du30vgnQZT13tyjnrspT
1|Benita|49R1WTcCcbyOpl3g8YDJU6
1|Dave|6Ip8FS7vWT1uKkJSweANQK
1|Folamour|6pJY5At9SiMpAOBrw9YosS
2|Bad Boy Chiller Crew|5SRr4ZJMoygWecytkIwlaV
2|Tate McRae|45dkTj5sMRSjrmBSBeiHym
2|Liilz|0PfJ0SW9UpzczeHL5hgdwL
2|Camila Cabello|4nDoRrQiYLoBzwC5BhVJzF
2|Tiësto|2o5jDhtHVPhrJdv3cEQ99Z
2|Charlie Puth|6VuMaDnrHyPL1p4EHjYLi7
2|Sam Fender|6zlR5ttMfMNmwf2lecU9Cc
2|Lil Tjay|6jGMq4yGs7aQzuGsMgVgZR
2|ArrDee|7m0BsF0t3K9WQFgKoPejfk
2|ACRAZE|4pnp4w9g30yLfVIAFnZMRd
2|Potter Payper|7bZpYWk0ZZN7CkOeXbAY0Z
2|Mimi Webb|3GxKJzJK4LpsYGXQrw77wz
2|Russ Millions|3FoFW2AoUGRHBacC6i4x4p
2|Em Beihold|7o2ZQYM7nTsaVdkXY38UAA
2|Aitch|2PJEagPIxaBugeMjIyKVXF
2|Jax Jones|4Q6nIcaBED8qUel8bBx6Cr
2|Lost Frequencies|7f5Zgnp2spUuuzKplmRkt7
2|Belters Only|1H1sDUWSlytzifZTDpKgUA
2|Fireboy DML|75VKfyoBlkmrJFDqo1o2VY
2|Charli XCX|25uiPmTg16RbhZWAqwLBy5
2|Dave|6Ip8FS7vWT1uKkJSweANQK
2|Luude|20cmhoGvN0eyzhmsHJH1Mg
2|Dove Cameron|2W8yFh0Ga6Yf3jiayVxwkE
2|Glass Animals|4yvcSjfu4PC0CYQyLy4wSq
2|Wilkinson|6m8itYST9ADjBIYevXSb1r
2|Becky Hill|4EPJlUEBy49EX1wuFOvtjK
2|A1 x J1|1WO1hFAkFbeo9tV3uVX7Dy
3|Antonio Vivaldi|2QOIawHpSlOwXDvSqQ9YJR
3|Sting|0Ty63ceoRnnJKVEYP0VQpk
3|Lucio Dalla|25MkkfEousyfp2eyh38FUl
3|Joesef|28EyduqESEOVMO6vglvaUZ
3|Charles Bolt|4FX5p8T76gw69sWyPbggCj
3|M83|63MQldklfxkjYDoUE4Tppz
4|Sleepy Hallow|6EPlBSH2RSiettczlz7ihV
4|Conway the Machine|67gqUXxHedeUGDTxwBzdjS
4|T2|4Q5MS10mWfrDyiXVeAAzVd
4|Nines|0tPKcpC8yXpfdWXFcN7Vwr
4|Hansen|1lPtXpdRwjw5S1QcAYUL6c
4|RAY BLK|0CkbPVBpOwwz9NPPglFKyq
4|Monsta Boy|0YgabnWomkooWIaTM6VOfE
4|Kaory|6SmQQGBIM8IcEctLqXanBH
4|3 Of A Kind|0WG74hoaVTaNb3hx3yRqb1
4|Polo G|6AgTAQt8XS6jRWi4sX7w49
4|Smoke DZA|3kf0gOpxWtkyeMNJVDQPtd
4|Jme|4IZLJdhHCqAvT4pjn8TLH5
4|Twista|6vbY3hOaCAhC7VjucswgdS
