artist_name|artist_uri
Harry Nach|0NnUMWDCDi1snuMja6IdxH
ZAYN|5ZsFI1h6hIdQRw2ti0hz81
Cardi B|4kYSro6naA4h99UJvo89HB
The Strokes|0epOFNiUfyON9EYx7Tpr6V
Nicki Minaj|0hCNtLu0JehylgoiP8L4Gh
Arctic Monkeys|7Ln80lUS6He07XvHI8qqHH
Farruko|329e4yvIujISKGKz1BZZbO
Meek Mill|20sxb77xiYeusSH8cVdatc
Mac Miller|4LLpKhyESsyAXpc4laK94U
Future|1RyvyyTE3xzB2ZywiAwp0i
The Vamps|7gAppWoH7pcYmphCVTXkzs
ITZY|2KC9Qb60EaY0kW4eH68vr3
Blueface|3Fl1V19tmjt57oBdxXKAjJ
Tory Lanez|2jku7tDXc6XoB6MO2hFuqg
XXXTENTACION|15UsOTVnJzReFVN1VCnxy4
Şanışer|5LUxu287CsPM7jy3yS3l86
The 1975|3mIj9lX2MWuHmhNCA7LSCW
The Kid LAROI|2tIP7SsRs7vjIcLrU85W8J
Rocco Hunt|0L1f9i3L3fkMNENljDOsjG
Piso 21|4bw2Am3p9ji3mYsXNXtQcd
21 Savage|1URnnhqYAYcrqrcwql10ft
Shawn Mendes|7n2wHs1TKAczGzO7Dd2rGr
Christina Aguilera|1l7ZsJRRS8wlW3WfJfPfNS
Ella Fitzgerald|5V0MlUE1Bft0mbLlND7FJz
DVBBS|5X4LWwbUFNzPkEas04uU82
Lele Pons|6i3DxIlAqnDkwELLw4aVrx
John Mayer|0hEurMDQu99nJRq8pTxO14
Azet|39KEQQAG9JhIt71g9NEVhh
Matheus Fernandes|37mqXU98U5GmH5ZDtlHM1c
Yandel|0eHQ9o50hj6ZDNBt6Ys1sD
The xx|3iOvXCl6edW5Um0fXEBRXy
ScHoolboy Q|5IcR3N7QB1j6KBL8eImZ8m
Trippie Redd|6Xgp2XMz1fhVYe7i6yNAax
Bonez MC|1aS5tqEs9ci5P9KD9tZWa6
Troye Sivan|3WGpXCj9YhhfX11TToZcXP
KIDS SEE GHOSTS|2hPgGN4uhvXAxiXQBIXOmE
Travis Scott|0Y5tJX1MQlPlqiwlOH1tJY
Ozuna|1i8SpTcr7yvPOmcqrbnVXY
Lana Del Rey|00FQb4jTyendYWaN8pK0wa
Trueno|2x7PC78TmgqpEIjaGAZ0Oz
Gusttavo Lima|7MiDcPa6UiV3In7lIM71IN
Oasis|2DaxqgrOhkeH0fpeiQq2f4
Tom Odell|2txHhyCwHjUEpJjWrEyqyX
Zedd|2qxJFvFYMEDqd7ui6kSAcq
Dark Polo Gang|4CuMwzDzEdlUJMEna38VQ0
Fifth Harmony|1l8Fu6IkuTP0U5QetQJ5Xt
Tom Petty|2UZMlIwnkgAEDBsw1Rejkn
Ty Dolla $ign|7c0XG5cIJTrrAgEC3ULPiq
Calvin Harris|7CajNmpbOovFoOoasH2HaY
Nipsey Hussle|0EeQBlQJFiAfJeVN2vT9s0
Nicky Jam|1SupJlEpv7RS2tPNRaHViT
Dean Martin|49e4v89VmlDcFCMyDv9wQ9
Loud Luxury|6t1gpxYbY8OlLA7D2RiikQ
Ava Max|4npEfmQ6YuiwW1GpUmaq3F
Summer Walker|57LYzLEk2LcFghVwuWbcuS
DJ Lucas Beat|2zWqENF4cnsd1nLmraG9IE
Francesca Michielin|4jFlmD92WULLlaRS8Cj6QS
Frank Sinatra|1Mxqyy3pSjf8kZZL4QVxS0
Macklemore|3JhNCzhSMTxs9WLGJJxWOY
Lil Skies|7d3WFRME3vBY2cgoP38RDo
Pop Smoke|0eDvMgVFoNV3TpwtrVCoTj
Trinidad Cardona|4wP1kxjUsc9IR4Iy2smL7o
Aitana|7eLcDZDYHXZCebtQmVFL25
Madison Beer|2kRfqPViCqYdSGhYSM9R0Q
Alessia Cara|2wUjUUtkb5lvLKcGKsKqsR
David Guetta|1Cs0zKBU1kc0i8ypK3B9ai
Linkin Park|6XyY86QOPPrYVGvF9ch6wz
Perry Como|5v8jlSmAQfrkTjAlpUfWtu
blackbear|2cFrymmkijnjDg9SS92EPM
Kelly Clarkson|3BmGtnKgCSGYIUhmivXKWX
Jorge & Mateus|1elUiq4X7pxej6FRlrEzjM
Bryson Tiller|2EMAnMvWE2eb56ToJVfCWs
Gucci Mane|13y7CgLHjMVRMDqxdx0Xdo
Avicii|1vCWHaC5f2uS3yhpwWbIA6
Natti Natasha|1GDbiv3spRmZ1XdM1jQbT7
MEDUZA|0xRXCcSX89eobfrshSVdyu
Surf Curse|1gl0S9pS0Zw0qfa14rDD3D
Gryffin|2ZRQcIgzPCVaT9XKhXZIzh
James Arthur|4IWBUUAFIplrNtaOHcJPRM
Offset|4DdkRBBYG6Yk9Ka8tdJ9BW
Mora|0Q8NcsJwoCbZOHHW63su5S
Enrique Iglesias|7qG3b048QCHVRO5Pv1T5lw
Kane Brown|3oSJ7TBVCWMDMiYjXNiCKE
Childish Gambino|73sIBHcqh3Z3NyqHKZ7FOL
WILLOW|3rWZHrfrsPBxVy692yAIxF
Twenty One Pilots|3YQKmKGau1PzlVlkL1iodx
grandson|4ZgQDCtRqZlhLswVS6MHN4
Dreamville|1iNqsUDUraNWrj00bqssQG
Portugal. The Man|4kI8Ie27vjvonwaB2ePh8T
Powfu|6bmlMHgSheBauioMgKv2tn
The Citizens of Halloween|164hs3x1Tsp3FgJWNHee1r
Mau y Ricky|2wkoKEfS6dXwThbyTnZWFU
Bruno Mars|0du5cEVh5yTK9QJze8zA0C
"Bobby ""Boris"" Pickett"|42MRYPhQfcEXqb18dl5ERX
Paulo Pires|3whgFbrRxsOmYVrq3t4hCY
Lynyrd Skynyrd|4MVyzYMgTwdP7Z49wAZHx0
Lorde|163tK9Wjr9P9DmM0AVK7lm
YNW Melly|1cNDP5yjU5vjeR8qMf4grg
Kodak Black|46SHBwWsqBkxI7EeeBEQG7
Steve Aoki|77AiFEVeAVj2ORpC85QVJs
Frank Ocean|2h93pZq0e7k5yf4dywlkpM
Maggie Rogers|4NZvixzsSefsNiIqXn0NDe
Sfera Ebbasta|23TFHmajVfBtlRx5MXqgoz
Irama|5iot8OPcosJN9nCl7I5SdK
mc jhenny|6Ka3TKKRqhWwbmuxjhrmo6
Years & Years|5vBSrE1xujD2FXYRarbAXc
Myke Towers|7iK8PXO48WeuP03g8YR51W
Marília Mendonça|1yR65psqiazQpeM79CcGh8
PNL|3NH8t45zOTqzlZgBvZRjvB
SZA|7tYKF4w9nC0nq9CsPZTHyP
LANY|49tQo2QULno7gxHutgccqF
Bing Crosby|6ZjFtWeHP9XN7FeKSUe80S
Metro Boomin|0iEtIxbK0KxaSlF7G42ZOp
Lil Yachty|6icQOAFXDZKsumw3YXyusw
Sam Smith|2wY79sveU1sp5g7SokKOiI
CJ|7arQA31aZVS8yS6zUveWzb
THE ANXIETY|64H8UqGLbJFHwKtGxiV8OP
Dominic Fike|6USv9qhCn6zfxlBQIYJ9qs
San Holo|0jNDKefhfSbLR9sFvcPLHo
Loredana|2Im8m4STDBosjfmb5hmP80
Skylar Grey|4utLUGcTvOJFr6aqIJtYWV
Tarcísio do Acordeon|48HORs6F9P7IgdyKrk4MZC
Foo Fighters|7jy3rLJdDQY21OgRLCZ9sD
Ninho|6Te49r3A6f5BiIgBRxH7FH
Chris Jedi|0qTZZWLzuD59Un5r1speHm
Måneskin|0lAWpj5szCSwM4rUMHYmrr
Apache 207|1qQLhymHXFPtP5U8KNKsm6
Don Toliver|4Gso3d4CscCijv0lmajZWs
RAF Camora|0Dvx6p8JDyzeOPGmaCIH1L
Damso|2UwqpfQtNuhBwviIC0f2ie
Alok|0NGAZxHanS9e0iNHpR8f2W
The Rolling Stones|22bE4uQ6baNwSHPVcDxLCe
P!nk|1KCSPY1glIKqW2TotWuXOR
Walker Hayes|7sKxqpSqbIzphAKAhrqvlf
MERO|5wyWp867LWGjFmYZXVSFnZ
