artist_name|genres
Imagine Dragons|rock
Harry Styles|pop
TC|bristol electronic
TC|drum and bass
TC|jump up
TC|uk dnb
Billie Eilish|art pop
Billie Eilish|electropop
Billie Eilish|pop
Mystery Jets|alternative dance
Mystery Jets|indie rock
Mystery Jets|modern rock
Mystery Jets|new rave
The Killers|alternative rock
The Killers|dance rock
The Killers|modern rock
The Killers|permanent wave
The Killers|rock
Rousseau|
The Weeknd|canadian contemporary r&b
The Weeknd|canadian pop
The Weeknd|pop
Jack Garratt|uk alternative pop
Queen|classic rock
Queen|glam rock
Queen|rock
Birdy|pop
Birdy|pop rock
Kings of Leon|modern rock
Kings of Leon|rock
Catfish and the Bottlemen|modern alternative rock
Catfish and the Bottlemen|modern rock
Catfish and the Bottlemen|rock
Catfish and the Bottlemen|stomp pop
Catfish and the Bottlemen|welsh rock
Lewis Capaldi|pop
Lewis Capaldi|uk pop
Bon Iver|eau claire indie
Bon Iver|indie folk
Bon Iver|melancholia
Sundara Karma|english indie rock
Sundara Karma|modern alternative rock
Sundara Karma|modern rock
Sundara Karma|reading indie
Sundara Karma|rock
Keane|neo mellow
Keane|piano rock
Keane|pop rock
Tame Impala|australian psych
Tame Impala|neo-psychedelic
Ben Howard|british singer-songwriter
Ben Howard|folk-pop
Ben Howard|indie folk
Ben Howard|neo mellow
Ben Howard|pop rock
Ben Howard|stomp and holler
Foals|indie rock
Foals|modern rock
Foals|new rave
Foals|oxford indie
Foals|rock
Khalid|pop
Khalid|pop r&b
Circa Waves|english indie rock
Circa Waves|indie surf
Circa Waves|liverpool indie
Circa Waves|modern alternative rock
Circa Waves|modern rock
Circa Waves|rock
Paramore|candy pop
Paramore|pixie
Paramore|pop emo
Paramore|pop punk
Eminem|detroit hip hop
Eminem|hip hop
Eminem|rap
Foster The People|indietronica
Foster The People|modern rock
Foster The People|pop rock
Foster The People|rock
Kendrick Lamar|conscious hip hop
Kendrick Lamar|hip hop
Kendrick Lamar|rap
Kendrick Lamar|west coast rap
J Hus|afroswing
J Hus|grime
J Hus|uk hip hop
Kano|grime
Kano|uk alternative hip hop
Kano|uk hip hop
Benny The Butcher|boom bap
Benny The Butcher|buffalo hip hop
Benny The Butcher|hip hop
Benny The Butcher|rap
Benny The Butcher|upstate ny rap
Knucks|uk alternative hip hop
J. Cole|conscious hip hop
J. Cole|hip hop
J. Cole|north carolina hip hop
J. Cole|rap
